solv_comb_sm,salt_sm,true_conductivity_log,class,group
C(COCCOC)(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.01275,Ether,in-house
C(COCCOC)(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.07306,Ether,in-house
C(COCCOC)(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.18417,Ether,in-house
C(COCCOC)(C(F)(F)C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.17017,Ether,in-house
C(COCCOC)(C(F)(F)C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.13653,Ether,in-house
C(COCCOC)(C(F)(F)C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0949,Ether,in-house
C(COCCOC)(C(F)(F)C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.04405,Ether,in-house
C(COCCOC)(C(F)(F)C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.01586,Ether,in-house
C(COCCOC)(C(F)(F)C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.08905,Ether,in-house
C(COCCOC)(C(F)(F)C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.182,Ether,in-house
C(COCCOC)(C(F)(F)C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.29413,Ether,in-house
C(COCCOC)(C(F)(F)C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.43345,Ether,in-house
C1(OCC(O1)C([F])([F])[F])OCC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.15490196,Ether,in-house
CCOC(OCC)OCC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.740362689,Ether,literature
C1C(OCO1)C(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.568201724,Ether,literature
C(CF)OCCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.86923172,Ether,literature
C(CF)OCC(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.447158031,Ether,literature
C(CF)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.079181246,Ether,literature
CC(COC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.146128036,Ether,literature
COCC(C(F)(F)F)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.86923172,Ether,literature
CS(=O)(=O)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.575187845,Others,literature
CCOS(=O)(=O)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.01494035,Others,literature
CS(=O)(=O)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.537819095,Others,literature
CS(=O)(=O)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.536558442,Others,literature
CS(=O)(=O)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.503790683,Others,literature
CS(=O)(=O)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.474216264,Others,literature
CO[Si](C)(CCC(F)(F)F)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.585026652,Others,literature
CO[Si](C)(CCC(F)(F)F)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.356547323,Others,literature
CCCOCCC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.22184875,Ether,literature
