smiles,IE,EA
CC(C)(C)C1=CS/C(=C\2/SC=C(C(C)(C)C)S2)/S1,3.092272639,0.17215656
Cc1ccc(c2c1ONO2)N(C)C,3.786522891,-0.284195858
c1(c2nccnc2)nccnc1,5.587283002,1.339739027
c1(c2ccc(cc2)c2oc(cn2)c2ccccc2)oc(cn1)c1ccccc1,4.152943848,1.247740318
CCC1=CCC=C(C#N)O1,4.674877323,0.533773925
Cc1cn(C)cc/c/1=c/1\ccn(C)c(c1)c1ccccc1,1.829732438,0.208808591
CCN1Oc2cccc(c2O1)C(Cl)(Cl)Cl,4.407590928,2.935153499
c1ccc(cc1)C1=C(F)SC=CC1,4.180026977,0.336805231
COc1cc2c(cc1C(=O)O)[nH]s[nH]2,3.29665447,2.704378308
c1(oc(cc1)C)C,4.305529618,-1.076396027
Cn1ccc(=c2ccn(Cc3ccccc3)c(c2)N(=O)=O)cc1,2.610848901,1.626304703
[Si](CCCN)(OC)(OC)OC,4.774138802,-0.822586731
Cn1ccc(=c2cc(n(C)cc2N(=O)=O)OCCOCCOC)cc1,2.29734476,1.38399019
Cc1c(cc[nH]1)O,3.728835769,-0.551972033
CC(=O)c1cc(c2c(c1)ONO2)Cl,4.798022343,1.157037591
CCc1ccc2c(c1)n(OCCOC)s[nH]2,3.852610232,1.785459062
Oc1c(F)[nH]c(=N)cc1,5.269480125,2.08404044
c1cc2c(cc1)ncc(n2)O,5.169495445,1.179101449
C(#Cc1ccccc1)C1CCCCC1,4.774145733,0.105290454
CCC1=CSC=C(C1)N,3.300544552,-0.701889746
N1([N][CH]N([N][CH]1)C)C,3.332840987,0.058417395
Cc1ccc(C(F)(F)F)s1,5.192033023,0.426918804
Cc1ccccc1,5.169521162,-0.714653778
Cc1c2CCCCc2c(c(c1O)O)N,3.68321109,-0.248416613
c1cc(c2c(c1)ON(C(=O)O)O2)C(=O)O,4.825597894,1.13366683
CN(C)C1=CS/C(=C\2/SC=C(C(=O)O)S2)/S1,3.156440974,1.106404235
O(C(=O)c1ccc(cc1)C)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3,5.392138084,0.538648185
Cc1cnc(cn1)OC,5.079196258,0.590275128
c1(c(cc(c(n1)C#N)C#N)C#N)C#N,7.075385723,2.740361641
[C@H](P(=O)(OCC)OCC)(C)c1ccccc1,5.24027915,-0.465659222
CC1=CSC(=CC1)N,3.663674554,-0.716846853
c1cc2c(cc1)C(=O)c1c(C2=O)c(c(cc1)C)CC,5.402225445,2.039788318
COc1ccc2c(c1c1ccccc1)ONO2,4.220203981,0.378328911
c1(n2cccc2)ccc(cc1)OC,4.200189807,-0.307783034
c1c(c[nH]c1C(=O)N)N,3.682201885,0.110363918
COCCOC1(CCCc2cc(c(cc12)O)O)OCCOC,4.389002758,-0.390652449
CCC1=CCC(=CO1)N(C)C,3.209006613,-0.867632298
C=CC1=C(N(=O)=O)S[C](C2=[S]C=CS2)S1,3.566672825,2.454308036
C[C@H]1C[C@@H](C)CCC1,5.963275482,-1.02381138
C#Cc1cn(ccc1=c1ccn(C)cc1)CN(C)C,2.015586677,0.173895291
COCCOCCOCCOn1c2cccc(c2[nH]s1)N,3.909977239,1.754691142
C1C=C(C(=C1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,5.515294098,2.640610667
c1(c(c2c(cc1)nccn2)C=C)C=C,4.637449855,1.356839479
C#Cc1cc(cs1)OCCOCCOC,4.417057407,0.648167034
[Si](C#Cc1ccccc1)(C(C)C)(C(C)C)C(C)C,4.896941076,0.30914613
C/C(=N/c1ccc2c(c1)[nH]sn2C(C)(C)C)/O,3.181895335,1.712213393
C(=C(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,3.981410983,0.864534203
C(CCC=C)C(=O)C,5.513296289,0.034531887
Cc1cc(cs1)C(F)(F)F,5.130838256,0.195187568
C(=O)(CCC)N1[C@@H](COC1=O)c1ccccc1,5.338289858,0.090926114
CN(C)c1c(c2ccccc2)nccn1,4.073774474,0.749481481
CNc1noncc1=N,6.276430099,2.762878785
CCc1c(C)ccs1,4.502221629,-0.405402763
CNc1ccc(F)s1,3.506119189,0.108097153
CN1CCN(C)[C@@H](C#N)[C@H]1C#N,4.729801604,0.005872323
C=CC1=C[C@@H](C=CS1)c1ccccc1,4.200005831,0.452912171
C[C]1[CH][C]2[CH][C]([CH]1)CCc1cc(CC2)c(C)cc1C,0.46495363,3.443235887
c1c(c(cs1)O)N,3.874679222,-0.433658452
O(C)c1c(O)c(OC)cc(c1)C(=O)O,4.616239485,0.677648166
CN1CCN(C)[C@@H](c2ccccc2)[C@H]1C#N,4.493791079,-0.691394306
CC(=O)c1cn(C)cc(c1=c1ccn(C)cc1)C(Cl)(Cl)Cl,2.591241227,3.332336883
CNC1=COC=CO1,3.408542293,-0.599846169
C#C[C@@H]1CN(C)C[C@@H](N1C)N(=O)=O,4.633858382,1.241703286
C#Cc1cccc(c1[O])O[N]N(C)C,3.485895715,2.41644038
CNCn1ccc(=c2ccn(C)cc2)c(c1)N(C)C,1.797586302,-0.377790773
C1=C[C@@H](C(=C1)N)F,3.577267001,2.567951698
c1cc2c(c(c1C(=O)O)N(=O)=O)[nH]s[nH]2,3.618269707,2.200536009
C#CC1=CN(C)C=C[C]1[C]1C=CN(C)C=C1C=C,2.04211872,0.250552168
C[C@H]1[C@H]2[C@H]3[C@H]4[C@@H]1C[C@@H]2N34,6.115452136,0.399864777
C(C)(C)(C)O,5.954136267,-0.775206335
C1=C[C@H](C=C1)F,5.06485065,1.427129016
CN(C)[C@H]1CCC[C@H]1c1ccccc1,3.956991441,-0.919544256
CNc1cc(c[nH]1)[C]([NH])O,3.542749817,-0.452870377
C1[C@@H](C(=O)O)SC[C@@H](F)S1,5.251217198,0.695655905
CC(=O)c1ccc(C(Cl)(Cl)Cl)s1,5.556048317,2.929255813
N=C1O[C@H]2CC(=O)[C@@H]1O2,7.245287809,2.282352479
CC[C@@H]1CSC[C@H](N)S1,4.748077349,-0.887999904
CC[C@H]1C=CC=C1OC,3.752035499,-0.180108048
C(C)N,4.792780366,-0.826656398
C#CC1=CCC=C(c2ccccc2)O1,4.295727593,0.318417857
[C@H](C(=O)OCC)(O)c1ccccc1,5.344019527,0.076348026
C=Cc1ccc2c(c1)[nH]s[nH]2,3.404836061,0.432219266
N(Cc1ccccc1)(CC(F)(F)F)[C@@H](C#N)C,4.87685044,-0.005664478
C/C(=N/C1=CS/C(=C\2/SC=C(N(C)C)S2)/S1)/O,2.96468572,1.039900249
CN(C)C1=CCC=CS1,3.65204008,-0.64732891
COc1cc2c(cc1OC)[nH]s[nH]2,3.410848531,-0.11809655
Cn1ccc(=c2ccn(cc2)CC(F)(F)F)cc1,2.022685841,-0.318900685
c1ccc(cc1)c1cc(c2c(c1)ONO2)O,4.300176869,0.36401858
C1=CSC=C([C@@H]1C(=O)O)N,3.726006705,0.218019535
CNc1cc(cc2c1ONO2)C(=O)O,4.228991424,0.802527209
C1C[C@H](C[C@@H]1C(Cl)(Cl)Cl)N,4.96997051,2.175525426
C/C(=N/c1cc2c(cc1Cl)ONO2)/O,4.195122633,0.306072719
COc1ccc2c(c1)ON(C(=O)O)O2,4.292054059,0.715003651
Cn1cc(cc1C(=O)O)C#N,5.387154967,0.59381338
c1cc2c3c4c1c(=O)n1c(c4ccc3c3n(c2=O)c2c(n3)cc(c(c2)C)C)nc2c1cc(c(c2)C)C,4.336067275,2.486838908
CCC1=CCC(=CO1)c1ccccc1,4.057115785,0.132688448
COCCOCCOc1ccsc1OCCOC,3.83076825,-0.415267586
COc1cc2c(cc1C(Br)(Br)Br)ONO2,4.354987805,3.18998673
C#Cc1cncc(CC)n1,5.515981168,1.031006881
Cc1cccc2c1ON(C(=O)O)O2,4.585527789,0.726181603
C1=C(F)SC=C(N(=O)=O)S1,4.563769523,2.294219523
c12c(ccc(c1)OCc1ccccc1)cccc2,4.324014134,0.194857431
c1c2c3c4c5c1c(=O)n(c(=O)c5cc1c4c4c5c3c(cc3c5c(cc4n(o1)C)c(=O)n(c3=O)C)on2C)C,3.23820429,2.429134611
COC1=COC(=CC1)N(=O)=O,4.474742887,2.071454641
CNc1c2CCCCc2c(c(c1O)O)OCCOCCOC,4.129517693,-0.629268004
CN(C)[N]OC1=CC=C[C](C#N)C1=O,3.856257831,2.484017686
c12c(cccc1N)cccc2N,3.495900832,-0.06464216
C/C(=N/c1c/c(=c/2\ccn(C)cc2Cl)/ccn1C)/O,1.855663289,0.291052819
CCc1cc(c[nH]1)O,3.778754008,-0.57195825
C1C[C@H]([C@H](SC1)C#C)C,4.847014023,-0.85049787
CC(=O)C1=CSC(=[S]1)C1=[S]C(=CS1)/N=C(/C)\O,3.248890325,1.205113154
c1cc(c2c(c1C(F)(F)F)ONO2)Cl,4.88602453,1.294849182
CCC1=CN(C)C=C[C@H]1[C@@H]1C=CN(C)C=C1C(=O)O,2.016539929,0.367662209
c1(cc(ccn1)c1ccncc1CC)CC,5.630231293,0.808896945
c1cc(ccn1)c1cc(ncc1CC)C,5.344414035,0.831135574
c1ccc(cc1)C1=COC=C[C@H]1N,4.270483543,0.135682739
C/N=c/1\oncc(F)c1,6.592168646,2.89123723
CNc1c(ccc2c1ONO2)N(=O)=O,4.377785633,1.891342382
c1c(c2c(cc1)C(=O)c1c(C2=O)c(ccc1)CC)CC,5.474162738,1.980535396
COCCOCCOc1cscc1OCCOC,4.30941219,-0.413819073
Cc1c(N)nnoc1=N,6.056886278,3.151129706
C#CN1Oc2cccc(c2O1)/N=C(/C)\O,4.389777379,6.041569842
c1c(cc2c(c1F)ONO2)C(Br)(Br)Br,4.806590881,2.890056778
C=C[C@@H]1CCC[C@@H]1c1ccccc1,5.033002264,-0.558339478
CC1=C(F)S[C](C2=[S]C=CS2)S1,3.289506507,0.956963189
C=Cc1c(F)nccn1,5.382118809,1.288969238
C(#N)C1=COC(=CO1)C(Cl)(Cl)Cl,5.066728102,2.647931136
[C@H](C)(O)c1ccc(cc1)C#N,5.657659481,0.776670944
CN(C)c1ccsc1OC,3.222193936,-0.199653005
C(c1ccccc1)(c1ccccc1)Sc1ccccc1,4.49881115,1.738627813
C(N1[Si]N(CC1)C(C)(C)C)(C)(C)C,3.961311615,0.1705113
CNc1cc(cc2c1ONO2)N,3.52604187,-0.654592646
Cc1c(F)c(=O)[nH]nc1,6.865362172,2.455252391
C(=O)(CCC(=O)C)C1CCCCC1,5.353470482,0.130382629
CC(=O)c1c(c(=c2ccn(C)cc2)ccn1C)OC,2.141952188,0.791727457
CNc1cn(C)cc1N(=O)=O,3.833447714,1.449875002
Cn1ccc(=c2ccn(cc2Cl)CC(Cl)(Cl)Cl)cc1,2.194289546,2.268433585
Cc1ccc(C(=O)O)s1,5.136778267,0.943170781
